Gene Symbol,Report Type,Report PMID,Primary Disorder(s),Associated Disorder(s)
CHD3,Recent Recommendation,32483341,Snijders Blok-Campeau syndrome (SNIBCPS),Autistic features
CHD5,Support,25363760,,
CHD5,Support,27806305,,
CHD5,Primary,28608855,,
CHD5,Support,29346770,ASD,
CHD5,Support,31130284,"Speech delay, motor delay, developmental regressio",Autistic features
CHD5,Support,31398340,ASD,
CHD7,Primary,15300250,CHARGE syndrome,ASD
CHD7,Support,20453063,,
CHD7,Support,22495309,ASD,
CHD7,Recent Recommendation,23134727,,
CHD7,Recent Recommendation,23827709,,
CHD7,Support,23849776,ASD,
CHD7,Support,24066114,ASD,"ID, epilepsy"
CHD7,Recent Recommendation,24728844,,
CHD7,Support,25533962,ID,
CHD7,Recent Recommendation,26401017,ASD,
CHD7,Recent Recommendation,26785492,Congenital heart disease (CHD),"DD, learning disabilities"
CHD7,Recent Recommendation,26928066,,
CHD7,Support,27479843,ID,
CHD7,Support,27824329,ASD,
CHD7,Support,27841880,Multiple congenital anomalies,
CHD7,Support,27848944,CHARGE syndrome,"ASD, ID"
CHD7,Recent Recommendation,28165338,,
CHD7,Support,28263302,ASD,
CHD7,Recent Recommendation,28317875,,
CHD7,Support,28554332,ID,
CHD7,Support,28991257,Congenital heart disease (CHD),Neurodevelopmental disorders (NDD)
CHD7,Support,29346770,ASD,
CHD7,Support,30108144,,
CHD7,Support,30277262,,
CHD7,Support,30564305,ASD,
CHD7,Support,31134136,ASD,CHARGE syndrome
CHD7,Support,31220273,ASD,
CHD7,Support,31452935,ASD,
CHD7,Support,32493418,CHARGE syndrome,
CHD8,Support,17545556,DD,Cognitive impairment
CHD8,Support,20453063,,
CHD8,Primary,22495309,ASD,
CHD8,Support,22521361,ASD,
CHD8,Support,23160955,ASD,
CHD8,Support,24776741,SCZ,
CHD8,Recent Recommendation,24998929,ASD,"DD, ID"
CHD8,Support,25257502,ASD,
CHD8,Recent Recommendation,25294932,,
CHD8,Recent Recommendation,25363760,ASD,
CHD8,Support,25363768,ASD,
CHD8,Support,25418537,ASD,
CHD8,Support,25533962,ASD,
CHD8,Recent Recommendation,25752243,,
CHD8,Recent Recommendation,25989142,,
CHD8,Recent Recommendation,26401017,ASD,
CHD8,Support,26402605,ASD,
CHD8,Support,26637798,ASD,
CHD8,Support,26789910,ASD,"ID, SCZ"
CHD8,Support,26834018,DD,
CHD8,Support,26921529,"ASD, DD",
CHD8,Recent Recommendation,27694995,,
CHD8,Support,27824329,ASD,
CHD8,Support,27841880,ASD,
CHD8,Support,28191889,"ASD, DD",
CHD8,Support,28263302,ASD,
CHD8,Support,28344757,ASD,
CHD8,Support,28475857,ID,"Macrocephaly, tall stature"
CHD8,Support,28714951,ASD,
CHD8,Support,28831199,ASD,
CHD8,Support,29158550,ID,Autistic featues (social difficulties)
CHD8,Recent Recommendation,30104731,,
CHD8,Support,30107084,ASD,ID
CHD8,Support,30108144,,
CHD8,Support,30277262,,
CHD8,Support,30376831,"ASD, DD, ID",
CHD8,Support,30392784,ASD,
CHD8,Support,30555518,ASD,DD/ID
CHD8,Support,30564305,ASD,
CHD8,Support,30631761,"DD, ID",ADHD
CHD8,Support,30670789,"ASD, DD, ID, OCD, macrocephaly",
CHD8,Support,31001818,"ASD, ID",Macrocephaly
CHD8,Support,31031587,ASD,ID
CHD8,Support,31038196,ASD,
CHD8,Support,31130284,ASD or autistic features,"ID, epilepsy/seizures"
CHD8,Support,31209962,"ID, ASD or autistic traits",
CHD8,Support,31220273,ASD,
CHD8,Support,31398340,ASD,
CHD8,Support,31452935,ASD,
CHD8,Support,31721432,ID,"ASD, overgrowth"
CHD8,Support,31771860,OCD,
CHD8,Support,31980904,ASD,
CHD8,Support,31981491,ASD,
CHD8,Support,32094338,ASD,
CHD8,Support,32193494,ASD,
CHD8,Support,32277047,ID,Marfanoid habitus
CHD8,Support,32309624,"DD, ID","Autistic behavior, stereotypy"
CHKB,Support,23692895,Megaconial type congenital muscular dystrophy,ASD
CHKB,Support,25363768,ASD,
CHKB,Primary,26067811,Megaconial type congenital muscular dystrophy,"DD, ID, autistic features"
CHKB,Support,28263302,ASD,
CHM,Support,23260136,ASD,
CHM,Support,26749308,ASD,
CHM,Primary,28263302,ASD,
CHM,Support,28965761,ASD,
CHM,Support,32193494,ASD,
CHM,Support,32530565,"ASD, DD",
CHMP1A,Support,23023333,Pontocerebellar hypoplasia type 8 (PCH8),
CHMP1A,Primary,25363760,ASD,
CHMP1A,Support,25363768,ASD,
CHMP1A,Support,25961944,ASD,
CHMP1A,Recent Recommendation,28831199,ASD,
CHRM3,Support,22186213,"DD, ID",
CHRM3,Primary,23253743,ASD,
CHRM3,Support,25363760,ASD,
CHRM3,Support,28831199,ASD,
CHRM3,Positive Association,29483656,SCZ,
CHRM3,Support,31019551,"ASD, DD, ID",
CHRNA7,Support,19898479,"DD, ID, epilepsy/seizures",
CHRNA7,Support,21703448,Epilepsy,
CHRNA7,Primary,22031302,DD,ID
CHRNA7,Support,22346768,ASD,ID
CHRNA7,Support,22775350,"DD, ID, ASD, ADHD",
CHRNA7,Support,22825934,Epilepsy,"ASD, DD, ID"
CHRNA7,Support,23032108,ASD,DD/ID
CHRNA7,Support,23350639,"DD, ID",
CHRNA7,Recent Recommendation,24424125,"ASD, DD, ID","BPD, Epilepsy"
CHRNA7,Support,24643514,ASD,
CHRNA7,Support,25655306,ASD,
CHRNA7,Support,26968334,SCZ,
CHRNA7,Recent Recommendation,29129316,,
CHRNB3,Primary,23275889,ASD,
CHRNB3,Support,31398340,ASD,
CHRNB3,Support,31674007,ASD,Macrocephaly
CHST5,Highly Cited,11017086,,
CHST5,Highly Cited,16938851,,
CHST5,Recent Recommendation,21440637,,
CHST5,Primary,21572417,ASD,
CHST5,Recent Recommendation,26938441,,
CHST5,Support,31398340,ASD,
CIB2,Primary,23275889,ASD,
CIC,Support,21076407,ID,
CIC,Primary,25363768,ASD,
CIC,Recent Recommendation,28263302,ASD,
CIC,Recent Recommendation,28288114,"DD, ID","ASDor autistic features, epilepsy/seizures"
CIC,Support,30504930,ASD,
CIC,Support,32382396,"ASD, DD",
CLASP1,Primary,25363760,ASD,
CLASP1,Support,25363768,ASD,
CLASP1,Recent Recommendation,28263302,ASD,
CLCN4,Support,27550844,Raynaud-Claes syndrome,Autistic features
CLCN4,Support,28191890,ASD,
CLCN4,Primary,31452935,ASD,
CLCN4,Support,8826458,Raynaud-Claes syndrome,
CLCN4,Support,9415477,Raynaud-Claes syndrome,Autistic features
CLIP2,Primary,32624584,ASD,ASD sub-phenotype
CLN8,Highly Cited,10508524,Neuronal ceroid lipofuscinosis-8,
CLN8,Primary,25806950,ASD,
CLN8,Negative Association,26657971,ASD,
CLSTN2,Support,19287492,,
CLSTN2,Support,26171716,,
CLSTN2,Primary,28600779,"ASD, ID, ADHD",
CLSTN2,Recent Recommendation,28647593,,
CLSTN3,Primary,24094106,,
CLSTN3,Support,25533962,Unknown diagnosis,
CLSTN3,Support,30504930,ASD,
CLTCL1,Primary,22511880,ASD,
CLTCL1,Support,24126932,SCZ,
CLTCL1,Support,24643514,ASD,
CLTCL1,Support,25533962,Unknown diagnosis,
CLTCL1,Support,28628100,ASD,
CLTCL1,Support,31398340,ASD,
CMIP,Support,19646677,SLI,
CMIP,Support,21457949,"SLI, RD","Dyslexia, ADHD"
CMIP,Primary,22689534,ASD,DD
CMIP,Positive Association,25448322,ASD,
CMIP,Support,25533962,Unknown diagnosis,
CMIP,Support,28504353,ASD,"ADHD, DD"
CMPK2,Primary,25363768,ASD,
CMPK2,Recent Recommendation,31398340,ASD,
CNGB3,Primary,25363760,ASD,
CNGB3,Recent Recommendation,28714951,ASD,
CNGB3,Support,31398340,ASD,
CNKSR2,Support,22511892,Houge-type X-linked syndromic mental retardation (,"ID, epilepsy/seizures, ADHD"
CNKSR2,Support,25223753,Houge-type X-linked syndromic mental retardation (,"ID, epilepsy/seizures"
CNKSR2,Primary,28135719,DD,ASD
CNKSR2,Support,30397616,"ASD, ADHD, DD, ID, epilepsy/seizures",
CNKSR2,Support,31414730,"DD, ID, epilepsy/seizures",
CNKSR2,Support,32530565,"ASD, DD",
CNOT1,Primary,25363768,ASD,
CNOT1,Support,27479843,ID,
CNOT1,Support,31006510,Holoprosencephaly 12 with or without pancreatic ag,DD
CNOT1,Support,31006513,Holoprosencephaly 12 with or without pancreatic ag,Epilepsy/seizures
CNOT1,Recent Recommendation,32553196,"DD, ID",ASD
CNOT3,Support,22495309,ASD,
CNOT3,Support,25418537,ASD,
CNOT3,Primary,28135719,DD,ASD
CNOT3,Support,28263302,ASD,
CNOT3,Support,30564305,ASD,
CNOT3,Support,31201375,"DD, ID, learning difficulties",ASD
CNOT3,Support,31231135,ID,ASD
CNOT3,Support,32720325,Intellectual developmental disorder with speech de,"DD, ID"
CNR1,Highly Cited,10341254,,
CNR1,Primary,16623851,striatal responses to happy faces,ASD
CNR1,Recent Recommendation,16723537,,
CNR1,Recent Recommendation,16819552,,
CNR1,Support,23375656,ASD,
CNR1,Support,29145497,,
CNR1,Highly Cited,9888857,,
CNR2,Positive Association,19931854,SCZ,
CNR2,Positive Association,21658778,BPD,
CNR2,Primary,23585028,ASD,
CNR2,Support,28714951,ASD,
CNR2,Support,31398340,ASD,
CNR2,Support,31674007,ASD,Macrocephaly
CNTN3,Support,18621663,ASD,
CNTN3,Primary,22209245,ASD,
CNTN3,Support,24690944,"DD, ID, ASD",MCA
CNTN3,Negative Association,25621974,ASD,
CNTN3,Positive Association,28472652,Tourette syndrome,
CNTN4,Highly Cited,15106122,ASD,"DD, ID"
CNTN4,Primary,18349135,ASD,
CNTN4,Recent Recommendation,18367085,,
CNTN4,Support,18374305,ASD,
CNTN4,Recent Recommendation,18551756,,
CNTN4,Positive Association,19404257,ASD,
CNTN4,Recent Recommendation,20133774,,
CNTN4,Support,21308999,ASD,
CNTN4,Support,22346768,ASD,ID
CNTN4,Recent Recommendation,23185133,,
CNTN4,Support,23275889,ASD,
CNTN4,Support,23632794,ASD,ID
CNTN4,Recent Recommendation,23715297,,
CNTN4,Positive Association,25337070,ASD,
CNTN4,Negative Association,25621974,ASD,
CNTN4,Positive Association,26314684,ASD,
CNTN4,Support,28714951,ASD,
CNTN4,Support,29271092,ASD,
CNTN4,Positive Association,29483656,SCZ,
CNTN4,Support,30923172,ID,Behavioral abnormalities
CNTN4,Support,32820185,ASD,
CNTN4,Highly Cited,8586965,,
CNTN5,Primary,21837366,ASD,
CNTN5,Support,23275889,ASD,
CNTN5,Support,23632794,ASD,ID
CNTN5,Positive Association,23934111,Epilepsy,"IS, LGS, DD, ID, ASD, ADHD"
CNTN5,Support,24410847,ASD,
CNTN5,Positive Association,25337070,ASD,
CNTN5,Negative Association,25621974,ASD,
CNTN5,Support,27166760,ASD,
CNTN5,Support,27667684,ASD,
CNTN5,Positive Association,32807774,ASD,ASD sub-phenotype
CNTN6,Primary,21837366,ASD,
CNTN6,Positive Association,25337070,ASD,
CNTN6,Support,25363768,ASD,
CNTN6,Support,25606055,"ASD, ID",
CNTN6,Negative Association,25621974,ASD,
CNTN6,Support,26257835,"ASD, DD, ID, epilepsy/seizures","ADHD, OCD"
CNTN6,Recent Recommendation,27166760,ASD,
CNTN6,Support,27667684,ASD,
CNTN6,Support,28018171,,
CNTN6,Recent Recommendation,28641109,Tourette syndrome,
CNTN6,Support,29152164,"ASD, ID",Macrocephaly
CNTN6,Support,29983269,"SCZ, epilepsy/seizures",
CNTN6,Negative Association,30836150,ASD,
CNTN6,Support,32820185,ASD,
CNTNAP2,Highly Cited,10624965,,
CNTNAP2,Support,12809671,OCD,"TS, ID"
CNTNAP2,Support,16571880,Cortical dysplasia-focal epilepsy syndrome,"ID, ADHD, ASD, epilepsy/seizures"
CNTNAP2,Support,17646849,SCZ,Epilepsy
CNTNAP2,Positive Association,18179893,ASD,
CNTNAP2,Primary,18179894,ASD,
CNTNAP2,Support,18179895,ASD,
CNTNAP2,Positive Association,18987363,ASD,
CNTNAP2,Recent Recommendation,19109503,,
CNTNAP2,Recent Recommendation,19166515,,
CNTNAP2,Support,19582487,ASD,
CNTNAP2,Support,19896112,Pitt-Hopkins like syndrome 1,"ID, epilepsy"
CNTNAP2,Recent Recommendation,20164332,,
CNTNAP2,Recent Recommendation,20176116,,
CNTNAP2,Positive Association,20414140,ASD,
CNTNAP2,Recent Recommendation,20502679,Epilepsy,ASD
CNTNAP2,Recent Recommendation,21048216,,
CNTNAP2,Support,21108403,ASD,
CNTNAP2,Recent Recommendation,21193173,Selective Mutism,
CNTNAP2,Positive Association,21310003,ASD,
CNTNAP2,Support,21448237,ASD,
CNTNAP2,Support,21572417,ASD,
CNTNAP2,Recent Recommendation,21827697,ID,
CNTNAP2,Recent Recommendation,21962519,,
CNTNAP2,Recent Recommendation,22031302,DD,ID
CNTNAP2,Support,22190369,Epilepsy,"ID, ASD"
CNTNAP2,Support,22738016,Epilepsy,ADHD
CNTNAP2,Recent Recommendation,22766611,CAS,
CNTNAP2,Positive Association,22843504,ASD,
CNTNAP2,Recent Recommendation,23074245,,
CNTNAP2,Support,23074684,DD,
CNTNAP2,Support,23275889,ASD,
CNTNAP2,Negative Association,23277129,ASD,
CNTNAP2,Support,23375656,ASD,
CNTNAP2,Recent Recommendation,23871450,,
CNTNAP2,Support,24066114,ASD,"ID, epilepsy"
CNTNAP2,Support,24083349,CAS,
CNTNAP2,Positive Association,24147096,ASD,
CNTNAP2,Support,24643514,ASD,
CNTNAP2,Support,25045150,ID,Epilepsy
CNTNAP2,Positive Association,25224256,ASD,
CNTNAP2,Positive Association,25337070,ASD,
CNTNAP2,Negative Association,25621974,ASD,
CNTNAP2,Support,26539891,ID,Epilepsy/seizures
CNTNAP2,Negative Association,26559825,ASD,
CNTNAP2,Recent Recommendation,26833134,,
CNTNAP2,Support,26843181,"ASD, ID, epilepsy/seizures",
CNTNAP2,Support,26845707,ASD,
CNTNAP2,Positive Association,26909962,ASD,
CNTNAP2,Support,26985448,SCZ,
CNTNAP2,Support,27439707,"ID, epilepsy/seizures",
CNTNAP2,Support,27667684,ASD,
CNTNAP2,Support,27864847,Epilepsy/seizures,
CNTNAP2,Support,27916731,,
CNTNAP2,Support,28440294,Specific language impairment,
CNTNAP2,Support,28738218,,
CNTNAP2,Support,28831199,ASD,
CNTNAP2,Support,29271092,ASD,
CNTNAP2,Recent Recommendation,29788201,,
CNTNAP2,Positive Association,30017804,Developmental dyslexia,
CNTNAP2,Negative Association,30586385,"ASD, SCZ",BPD
CNTNAP2,Support,30675382,ASD,
CNTNAP2,Negative Association,30681286,ASD,
CNTNAP2,Support,30763456,ASD,
CNTNAP2,Support,31139143,"ASD, epilepsy/seizures",
CNTNAP2,Support,31209962,"ID, ASD or autistic traits",
CNTNAP2,Support,31452935,ASD,
CNTNAP2,Support,32717741,ASD,
CNTNAP3,Primary,22209245,ASD,
CNTNAP3,Support,26807827,,
CNTNAP3,Support,28413940,SCZ,
CNTNAP3,Support,28965761,ASD,
CNTNAP3,Support,31150793,ASD,
CNTNAP4,Support,20502679,Epilepsy,
CNTNAP4,Support,20531469,ASD,
CNTNAP4,Support,21934709,ASD,
CNTNAP4,Support,22495309,ASD,
CNTNAP4,Primary,24870235,ASD,"SCZ, ADHD"
CNTNAP4,Support,25363768,ASD,
CNTNAP4,Recent Recommendation,25549968,ASD,
CNTNAP4,Negative Association,25621974,ASD,
CNTNAP4,Recent Recommendation,26401017,ASD,
CNTNAP4,Support,28714951,ASD,
CNTNAP4,Support,28831199,ASD,
CNTNAP5,Highly Cited,16845472,,
CNTNAP5,Recent Recommendation,19721433,SCZ,
CNTNAP5,Primary,20346443,ASD,Dyslexia
CNTNAP5,Recent Recommendation,20451256,BPD,
CNTNAP5,Support,22209245,ASD,
CNTNAP5,Support,22825934,Epilepsy,"ASD, DD, ID"
CNTNAP5,Support,23275889,ASD,
CNTNAP5,Positive Association,25337070,ASD,
CNTNAP5,Negative Association,25621974,ASD,
CNTNAP5,Support,27667684,ASD,
CNTNAP5,Support,28440294,Specific language impairment,
CNTNAP5,Support,31398340,ASD,
CNTNAP5,Positive Association,32807774,ASD,ASD sub-phenotype
COL28A1,Primary,25961944,ASD,
COL28A1,Recent Recommendation,28831199,ASD,
COL28A1,Support,31398340,ASD,
COP1,Highly Cited,11509693,,
COP1,Highly Cited,1423630,,
COP1,Recent Recommendation,18815134,,
COP1,Recent Recommendation,19061637,,
COP1,Recent Recommendation,19165148,,
COP1,Primary,19404257,ASD,
COP1,Support,25363768,ASD,
COP1,Support,31981491,ASD,
COP1,Highly Cited,8001131,,
COP1,Highly Cited,9659918,,
CORO1A,Primary,31981491,ASD,
CPEB4,Primary,30111840,ASD,
CPT2,Primary,28831199,ASD,
CPT2,Support,29346770,ASD,
CPZ,Primary,25363760,ASD,
CPZ,Support,25363768,ASD,
CPZ,Recent Recommendation,31452935,ASD,
CREBBP,Support,12070251,Rubinstein-Taybi syndrome,ASD
CREBBP,Primary,15830322,ASD,
CREBBP,Support,18792986,Rubinstein-Taybi syndrome,
CREBBP,Support,19350377,Rubinstein-Taybi syndrome,
CREBBP,Support,23315884,ID,DD
CREBBP,Support,24690944,"DD, ID, ASD",MCA
CREBBP,Support,25363768,ASD,
CREBBP,Support,25533962,DD,
CREBBP,Support,25768348,Rubinstein-Taybi syndrome,"ASD, ID"
CREBBP,Support,25961944,ASD,
CREBBP,Recent Recommendation,26401017,ASD,
CREBBP,Support,26788536,Rubinstein-Taybi syndrome,
CREBBP,Support,27311832,Menke-Hennekam syndrome 1,"DD, ID, ASD or autistic features"
CREBBP,Support,27479843,ID,
CREBBP,Support,27848944,Rubinstein-Taybi syndrome,DD
CREBBP,Positive Association,28472652,Tourette syndrome,
CREBBP,Support,28554332,ID,"Epilepsy/seizures, macrocephaly"
CREBBP,Support,28714951,ASD,
CREBBP,Support,28940097,DD,
CREBBP,Support,29460469,Menke-Hennekam syndrome 1,"DD, ID, ASD or autistic behavior"
CREBBP,Recent Recommendation,29551561,Rubinstein-Taybi syndrome,
CREBBP,Support,29637745,Rubinstein-Taybi syndrome,
CREBBP,Support,30892814,Menke-Hennekam syndrome 1,Autistic features
CREBBP,Support,31130284,"DD, ID",Stereotypies
CREBBP,Support,31209962,"ID, ASD or autistic traits",
CREBBP,Support,31406558,ASD,
CREBBP,Support,31452935,ASD,
CREBBP,Support,31981491,ASD,
CREBBP,Support,32277047,ID,Marfanoid habitus
CREBBP,Support,7630403,Rubinstein-Taybi syndrome,ASD
CRHR2,Support,10742108,,
CRHR2,Support,10742109,,
CRHR2,Primary,27428651,,
CRHR2,Support,31398340,ASD,
CSDE1,Primary,25363768,ASD,
CSDE1,Recent Recommendation,31579823,"ASD, DD, ID","ADHD, epilepsy/seizures"
CSMD1,Support,22495306,ASD,
CSMD1,Primary,24410847,ASD,
CSMD1,Support,24690944,"DD, ID, ASD",MCA
CSMD1,Support,25363760,ASD,
CSMD1,Support,25363768,ASD,
CSMD1,Support,25961944,ASD,
CSMD1,Positive Association,26314684,ASD,
CSMD1,Support,27824329,ASD,
CSMD1,Support,28191889,ASD,
CSMD1,Support,28714951,ASD,
CSMD1,Positive Association,29483656,SCZ,
CSMD1,Support,30504930,ASD,
CSMD1,Support,30564305,ASD,
CSNK1D,Primary,20531469,ASD,
CSNK1D,Support,31398340,ASD,
CSNK1E,Support,10775102,,
CSNK1E,Support,18400165,,
CSNK1E,Primary,25363760,ASD,
CSNK1E,Recent Recommendation,29346770,ASD,
CSNK1E,Support,9674431,,
CSNK2A1,Primary,25363768,ASD,
CSNK2A1,Support,27048600,"Okur-Chung neurodevelopmental syndrome, DD, ID","ADHD, epilepsy/seizures, stereotypy"
CSNK2A1,Support,28263302,ASD,
CSNK2A1,Support,28725024,"Okur-Chung neurodevelopmental syndrome, DD, ID",Autistic features
CSNK2A1,Support,29240241,"Okur-Chung neurodevelopmental syndrome, DD, ID","ASD or autistic features, stereotypy, epilepsy/sei"
CSNK2A1,Support,29383814,"Okur-Chung neurodevelopmental syndrome, ID","Autistic features, stereotypy"
CSNK2A1,Support,29619237,"Okur-Chung neurodevelopmental syndrome, DD, ID",
CSNK2A1,Support,30655572,"DD, epilepsy/seizures",ID
CSNK2A1,Support,31729156,"Okur-Chung neurodevelopmental syndrome, DD, ID",Stereotypy
CSNK2A1,Support,32651551,DD,"ASD, epilepsy/seizures"
CSNK2A1,Support,32746809,"Okur-Chung neurodevelopmental syndrome, DD, ID",Impaired social interactions
CTCF,Primary,16949368,,
CTCF,Recent Recommendation,22210889,,
CTCF,Recent Recommendation,23746550,ID,DD
CTCF,Recent Recommendation,23874213,,
CTCF,Recent Recommendation,24553927,,
CTCF,Support,25363768,ASD,
CTCF,Support,25533962,DD,
CTCF,Support,25961944,ASD,
CTCF,Support,27525107,ASD,
CTCF,Positive Association,28472652,Tourette syndrome,
CTCF,Support,28619046,DD,
CTCF,Support,28848059,DD,"Autistic features, dysmorphic features"
CTCF,Support,30893510,Autosomal dominant mental retardation 21 (MRD21),
CTCF,Recent Recommendation,31239556,Behavioral abnormalities (ASD or autistic features,"Feeding difficulties, vision anomalies, microcepha"
CTCF,Support,31771860,OCD,
CTCF,Support,31873310,ASD,
CTNNA2,Primary,30013181,"DD, ID, epilepsy/seizures, autistic features",Pachygyria
CTNNA3,Recent Recommendation,17761686,AD,
CTNNA3,Recent Recommendation,19187332,,
CTNNA3,Primary,19404256,ASD,
CTNNA3,Positive Association,19812673,ASD,
CTNNA3,Support,22495309,ASD,
CTNNA3,Support,22738016,Epilepsy,ADHD
CTNNA3,Support,23275889,ASD,
CTNNA3,Support,23375656,ASD,
CTNNA3,Support,24643514,ASD,
CTNNA3,Support,24690944,"DD, ID, ASD",MCA
CTNNA3,Recent Recommendation,25050139,ASD,ID
CTNNA3,Support,25363768,ASD,
CTNNA3,Support,27330745,,
CTNNA3,Support,28867142,ASD,
CTNNA3,Support,31674007,ASD,Macrocephaly
CTNNA3,Support,32530565,"ASD, DD",
CTNNB1,Primary,22495309,ASD,
CTNNB1,Support,23033978,ID,"Epilepsy, ASD"
CTNNB1,Support,23160955,ASD,
CTNNB1,Support,24614104,ID,Autistic features
CTNNB1,Support,24668549,ID,
CTNNB1,Support,25533962,DD,
CTNNB1,Recent Recommendation,26401017,ASD,
CTNNB1,Recent Recommendation,26785492,Congenital heart disease (CHD),"ASD, DD, ID"
CTNNB1,Support,26845707,ASD,
CTNNB1,Support,26968164,ID,
CTNNB1,Recent Recommendation,27131348,,
CTNNB1,Support,27378147,ASD,
CTNNB1,Support,27479843,ID,
CTNNB1,Recent Recommendation,27595133,,
CTNNB1,Support,27848944,Autosomal dominant mental retardation-19,"DD, ID, microcephaly"
CTNNB1,Support,27915094,"DD, ID","Hypotonia, spasticity, microcephaly"
CTNNB1,Support,28333917,"Psychomotor retardation, microcephaly",
CTNNB1,Support,28514307,"DD, microcephaly",
CTNNB1,Support,28771251,"DD, microcephaly",
CTNNB1,Support,28867142,ASD,
CTNNB1,Support,31130284,"DD, ID",Autistic features
CTNNB1,Support,31981491,ASD,
CTNND2,Primary,25807484,ASD,
CTNND2,Support,27824329,ASD,
CTNND2,Support,27841880,"DD, ADHD, behavioral problems",
CTNND2,Support,27862604,Reading difficulties,
CTNND2,Support,30564305,ASD,
CTNND2,Support,31814264,"ASD, DD",
CTTNBP2,Primary,11707066,ASD,
CTTNBP2,Highly Cited,15364959,,
CTTNBP2,Support,22542183,ASD,
CTTNBP2,Support,23020937,ID,"Epilepsy, ASD"
CTTNBP2,Recent Recommendation,25363760,ASD,
CTTNBP2,Support,27824329,ASD,
CTTNBP2,Support,30564305,ASD,
CTTNBP2,Support,31398340,ASD,
CTTNBP2,Support,32492416,ASD,
CUL3,Support,21145461,,
CUL3,Primary,22495309,ASD,
CUL3,Support,22914163,"ASD, SCZ",
CUL3,Recent Recommendation,23349464,,
CUL3,Recent Recommendation,23576762,,
CUL3,Recent Recommendation,25363760,ASD,
CUL3,Support,25533962,Unknown diagnosis,
CUL3,Support,25969726,ASD,
CUL3,Recent Recommendation,26401017,ASD,
CUL3,Recent Recommendation,27716508,,
CUL3,Support,27824329,ASD,
CUL3,Support,27841880,"DD, ID",
CUL3,Support,28191889,ASD,
CUL3,Support,28263302,ASD,
CUL3,Positive Association,29483656,SCZ,
CUL3,Support,30564305,ASD,
CUL3,Support,31038196,ASD,
CUL3,Support,31220273,ASD,
CUL3,Support,31278365,,
CUL3,Support,31398340,ASD,
CUL3,Support,31696658,ASD,
CUL3,Support,32341456,DD,"ID, epilepsy/seizures"
CUL7,Primary,25363768,ASD,
CUL7,Support,25961944,ASD,
CUL7,Support,27824329,ASD,
CUL7,Support,30564305,ASD,
CUL7,Support,31398340,ASD,
CUL7,Support,31452935,ASD,
CUX1,Support,20510857,,
CUX1,Support,22180456,,
CUX1,Support,25363760,ASD,
CUX1,Primary,27667684,ASD,
CUX1,Support,30014507,DD,"ID, ASD"
CUX1,Support,31038196,ASD,
CUX2,Highly Cited,15238450,,
CUX2,Highly Cited,15452856,,
CUX2,Support,18033766,,
CUX2,Support,20510857,,
CUX2,Primary,25363760,ASD,
CUX2,Recent Recommendation,29630738,"Epilepsy/seizures, ID","Autistic features, stereotypies"
CUX2,Support,29795476,"ASD, ID, epilepsy/seizures",
CUX2,Support,31708105,,
CX3CR1,Support,18762240,ASD,
CX3CR1,Primary,24487234,,
CX3CR1,Recent Recommendation,28763059,"ASD, SCZ",
CXCR3,Highly Cited,12782716,,
CXCR3,Highly Cited,15456824,,
CXCR3,Recent Recommendation,19115931,,
CXCR3,Recent Recommendation,19919575,,
CXCR3,Primary,20479760,ASD,SCZ
CXCR3,Support,22511880,ASD,
CXCR3,Support,23352160,ASD,
CXCR3,Support,31398340,ASD,
CXCR3,Highly Cited,9466968,,
CYFIP1,Support,11438699,,
CYFIP1,Support,20029941,ASD,
CYFIP1,Primary,22346768,ASD,ID
CYFIP1,Support,23999528,ASD,
CYFIP1,Recent Recommendation,24050404,,
CYFIP1,Positive Association,24442360,ASD,
CYFIP1,Recent Recommendation,24667445,,
CYFIP1,Recent Recommendation,24996170,,
CYFIP1,Recent Recommendation,25311365,,
CYFIP1,Positive Association,26094621,ASD,
CYFIP1,Recent Recommendation,26824476,,
CYFIP1,Recent Recommendation,26843638,,
CYFIP1,Support,26845707,ASD,
CYFIP1,Positive Association,27351196,Inter-individual variation in surface area across ,
CYFIP1,Support,29752658,,
CYFIP1,Recent Recommendation,30784587,,
CYFIP1,Support,32200800,,
CYLC2,Primary,21658582,ASD,
CYLC2,Support,23765050,ASD,
CYLC2,Recent Recommendation,26817790,,
CYP11B1,Highly Cited,10828825,,
CYP11B1,Recent Recommendation,19029289,,
CYP11B1,Primary,19598235,ASD,Asperger syndrome
CYP11B1,Highly Cited,8506298,,
CYP27A1,Highly Cited,16816916,Cerebrotendinous xanthomatosis,
CYP27A1,Primary,28894950,Cerebrotendinous xanthomatosis,ASD
CYP27A1,Support,31398340,ASD,
CYP27A1,Support,32349000,Cerebrotendinous xanthomatosis,ASD
DAB1,Highly Cited,10571241,,
DAB1,Primary,15820235,ASD,
DAB1,Recent Recommendation,19272360,,
DAB1,Recent Recommendation,19796633,,
DAB1,Support,23275889,ASD,
DAB1,Support,27184477,,
DAB1,Highly Cited,9338785,,
DAGLA,Primary,23275889,ASD,
DAGLA,Support,27219343,"ASD, SCZ",
DAGLA,Support,29145497,,
DAGLA,Support,29458998,,
DAGLA,Support,31673123,TS,
DAPK1,Highly Cited,10995806,,
DAPK1,Primary,16709250,ASD,
DAPK1,Recent Recommendation,16847012,AD,
DAPK1,Support,25363768,ASD,
DAPK1,Support,27525107,ASD,
DAPP1,Primary,23275889,ASD,
DAPP1,Support,31771860,OCD,
